Country,30% forest cover,Percent forest cover,5-year Forest loss (2010-2014),Loss as % of 2009 cover,10-year Forest loss 2005-2014,Loss as % of 2004 cover,5-yr vs 10-yr change,Loss 2001-2014
Puerto Rico,523665,58.80%,3886,0.80%,9622,1.90%,-19.20%,14561
Republic of Congo,26386120,77.90%,218672,0.80%,325864,1.20%,34.20%,409526
Rwanda,496553,20.80%,9253,1.90%,14728,3.00%,25.70%,19357
Saint Kitts and Nevis,13256,50.70%,50,0.40%,159,1.20%,-36.40%,281
Saint Lucia,50733,84.00%,306,0.60%,617,1.20%,-1.00%,719
Saint Vincent and the Grenadines,29146,75.20%,145,0.50%,267,0.90%,8.60%,313
Sao Tome and Principe,14207,88.50%,-,0.00%,-,0.00%,#DIV/0!,77
Senegal,39937,0.20%,1041,2.70%,1773,4.50%,17.50%,2176
Seychelles,6204,36.10%,4,0.10%,4,0.10%,78.90%,5
Sierra Leone,5617477,78.00%,342650,6.30%,451398,8.10%,51.80%,498424
Singapore,18768,29.40%,276,1.50%,701,3.80%,-21.40%,922
Solomon Islands,2736458,98.00%,42202,1.60%,73666,2.70%,14.60%,85617
Sri Lanka,3940058,60.50%,53819,1.40%,96948,2.50%,11.00%,112884
Suriname,13949663,96.60%,55102,0.40%,80517,0.60%,36.90%,97893
Tanzania,26423103,29.80%,774301,3.00%,1380699,5.30%,12.20%,1699305
Thailand,19962443,39.40%,530997,2.80%,1020567,5.20%,4.10%,1267835
Togo,558992,9.80%,8462,1.60%,22143,4.00%,-23.60%,31755
Trinidad and Tobago,391869,76.40%,6603,1.70%,13343,3.40%,-1.00%,17359
Turks and Caicos Islands,10845,12.40%,94,0.90%,361,3.30%,-47.90%,395
Uganda,7768510,37.80%,214897,2.80%,369383,4.80%,16.40%,439968
US Virgin Islands,19009,54.40%,146,0.80%,391,2.10%,-25.50%,608
Vanuatu,1182551,98.00%,2804,0.20%,4689,0.40%,19.60%,5830
Venezuela,56531450,62.80%,426454,0.80%,984240,1.80%,-13.30%,1376709
Vietnam,16577661,51.30%,782924,4.90%,1290484,7.90%,21.30%,1504547
Zambia,24088374,32.70%,542444,2.30%,878272,3.70%,23.50%,1025306
Zimbabwe,1414160,3.70%,47297,3.60%,108066,7.80%,-12.50%,140022
